2Nested_false-termination.c.out, True, 2304.0
AlternDiv.c.out, True, 2060.0
AlternKonv.c.out, True, 5840.0
Bangalore_false-termination.c.out, True, 2119.0
Bangalore_v2_false-termination.c.out, True, 2119.0
Bangalore_v3_false-termination.c.out, True, 1143.0
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c.out, True, 2125.0
Cairo_nondet_false-termination.c.out, True, 1143.0
Cairo_step2_false-termination.c.out, True, 2055.0
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c.out, True, 607.0
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c.out, True, 390.0
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c.out, True, 1230.0
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c.out, True, 793.0
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c.out, True, 703.0
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c.out, True, 609.0
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c.out, True, 1056.0
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c.out, True, 1116.0
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c.out, True, 1717.0
Choose.c.out, True, 609.0
ChooseLife.c.out, True, 806.0
ComplInterv.c.out, True, 2460.0
ComplInterv2.c.out, True, 11800.0
ComplInterv3.c.out, True, 879.0
ComplxStruc.c.out, True, 617.0
ConvLower.c.out, True, 444.0
Cousot.c.out, True, 418.0
DivWithoutMinus.c.out, True, 2786.0
DoubleNeg.c.out, True, 3295.0
Et2.c.out, True, 973.0
Et4.c.out, True, 1449.0
Even.c.out, True, 846.0
Ex01.c.out, True, 480.0
Ex02.c.out, True, 1486.0
Ex03.c.out, True, 448.0
Ex04.c.out, True, 418.0
Ex05.c.out, True, 356.0
Ex06.c.out, True, 457.0
Ex07.c.out, True, 432.0
Ex08.c.out, True, 664.0
Fibonacci.c.out, True, 1222.0
Flip.c.out, True, 1363.0
Flip2.c.out, True, 9266.0
GCD.c.out, True, 1448.0
GCD2.c.out, True, 3827.0
Gauss.c.out, True, 436.0
Hanoi_2vars_false-termination.c.out, True, 473.0
Hanoi_3vars_false-termination.c.out, True, 908.0
Hanoi_plus_false-termination.c.out, True, 579.0
Lcm.c.out, True, 6672.0
LeikeHeizmann-WST2014-Ex5_false-termination.c.out, True, 624.0
LeikeHeizmann-WST2014-Ex6_false-termination.c.out, True, 554.0
Loop.c.out, True, 480.0
Madrid_false-termination.c.out, True, 441.0
Marbie1.c.out, True, 448.0
Marbie2.c.out, True, 477.0
Middle.c.out, True, 445.0
MirrorInterv.c.out, True, 4247.0
MirrorIntervSim.c.out, True, 851.0
Mysore_false-termination.c.out, True, 749.0
NO_00.c.out, True, 332.0
NO_01.c.out, True, 373.0
NO_02.c.out, True, 330.0
NO_03.c.out, True, 333.0
NO_10.c.out, True, 411.0
NO_12.c.out, True, 437.0
NO_13.c.out, True, 504.0
NO_21.c.out, True, 441.0
NO_22.c.out, True, 457.0
NO_23.c.out, True, 460.0
NO_24.c.out, True, 435.0
NarrowKonv.c.out, True, 985.0
NonTermination1_false-termination.c.out, True, 406.0
NonTermination2_false-termination.c.out, True, 346.0
NonTermination4_false-termination.c.out, True, 311.0
NonTerminationSimple2_false-termination.c.out, True, 367.0
NonTerminationSimple3_false-termination.c.out, True, 369.0
NonTerminationSimple4_false-termination.c.out, True, 357.0
NonTerminationSimple5_false-termination.c.out, True, 427.0
NonTerminationSimple6_false-termination.c.out, True, 369.0
NonTerminationSimple7_false-termination.c.out, True, 304.0
NonTerminationSimple8_false-termination.c.out, True, 355.0
NonTerminationSimple9_false-termination.c.out, True, 227.0
PastaC10.c.out, True, 307.0
Rotation180_false-termination.c.out, True, 235.0
Singapore_plus_false-termination.c.out, True, 244.0
Singapore_v1_false-termination.c.out, True, 352.0
Singapore_v2_false-termination.c.out, True, 1467.0
Sunset.c.out, True, 2794.0
Swingers.c.out, True, 370.0
TrueDiv.c.out, True, 387.0
TwoFloatInterv.c.out, True, 11228.0
UpAndDown.c.out, True, 1049.0
UpAndDownIneq.c.out, True, 682.0
Urban-WST2013-Fig1_false-termination.c.out, True, 393.0
Velroyen_false-termination.c.out, True, 680.0
WhileIncr.c.out, True, 380.0
WhileIncrPart.c.out, True, 1483.0
WhileNested.c.out, True, 376.0
WhileNestedOffset.c.out, True, 375.0
WhilePart.c.out, True, 3452.0
WhileSingle.c.out, True, 354.0
WhileTrue.c.out, True, 310.0
WhileTrue_false-termination.c.out, True, 286.0
